tag,description
1,"Duties and Responsibilities:

Work with the development team to build and update cross-browser and mobile-first responsive websites & apps for Superfly projects, writing clean and maintainable HTML/CSS/JS code.
Provide coding and technical assistance to help the eCommerce team launch new Shopify sites and products.
Collaborate with remote teams to facilitate the front-end coding and delivery of new features, functionality & platform enhancements.
Identify and help implement front end code changes to improve browser compatibility and optimize site performance.
Assist the eCommerce and development teams to QA, detect, troubleshoot, fix, and prevent layout or content issues affecting production sites.
Research and provide technical assessment of new technology, trends to add interactive and engaging site content for our customers.
Build fast interactive usability prototypes to support new development and innovation opportunities.
Knowledge, Skills and Abilities:

At least 2+ years of experience building modern websites & apps
Experience building Shopify websites (pre-built themes or custom)
Strong experience writing clean & maintainable HTML/JS/CSS code
Intermediate level experience with a modern JS Framework such as React or Vue is preferred
Design eye - passionate about building engaging web/UI experiences
Skill Set: HTML, CSS/SCSS, JavaScript & Shopify
Bonus: React/Vue, XD, Sketch, Webpack
Proven ability to multi-task and handle a diverse workload
Demonstrate a strong sense of urgency
Extremely organized and have excellent time-management skills"
1,"The Front end Web Developer is responsible for working closely with project team members to ensure successful build and delivery for our projects. You’re an expert in front-end development with strong attention to detail. You’ll be responsible for communicating high-level web development concepts to non-technical team members and clients. You will help build best-in-class storefronts, implement apps, handle migrations, and integrations using modern web development principles Plan, manage and execute client projects from start to finish. Identify all the tasks that must be completed for client projects and execute them with a sound plan to completion. Ensure projects are completed on-time, within scope, and within budget.

Essential Functions

An expertise in Shopify theme development and customization
Develop project scopes and objectives, including all relevant stakeholders and ensuring technical feasibility
Translate requirements and design mockups into fully functioning websites using clean, readable code which may include HTML/CSS/JS
Build out design comps to pixel perfect accuracy.
Strong understanding of responsive web design techniques
Building out custom Shopify themes and modifying pre-existing themes depending on the scope of the project
Continuously look for ways to improve code quality and client projects.
Ongoing website maintenance including functional changes to eCommerce storefront
Inspect and troubleshoot bugs and other QA issues
Ensure all projects are completed on-time, within scope, and within budget.
Develop a detailed project plan to track progress. As necessary, meet with clients, internal resources, and third parties to ensure objectives are met.
Use appropriate verification techniques to manage changes in project scope, schedule and costs.
Report and escalate issues and concerns to management.
Studies latest features of Shopify Plus and can make recommendations to customers when applicable
Ability to work across multiple projects simultaneously
Strong understanding of best practices for DTC marketing sites
Qualifications

Bachelor's degree in business, marketing, communications, advertising or related field preferred.
2 or more years of experience developing Shopify sites. Prior experience at an agency is preferred.
An understanding of W3C web standards/semantics and accessibility guidelines
Ability to prioritize, multi-task and work independently, as well as collaboratively.
Experience working with version-control software.
Solid business understanding, problem-solving skills, ability to meet deadlines, and appreciation for budgets.
Outstanding relationship building, influencing and collaboration skills.
Proven ability to partner and communicate effectively with all levels of the organization.
Demonstrated project management skills.
Strong problem solving skills with a demonstrated ability to evaluate situations using multiple sources of information.
Strong interpersonal and customer service skills.
Strong strategic thinking and ability to translate into tactical action planning and execution.
Outstanding communication and presentation skills, both written and spoken."
1,"ob Summary

Frontier Communications is seeking a Front End UI Developer to join our growing Digital Team. This critical role will focus on front end coding activities across Frontier’s digital footprint, turning UX and visual design mockups into interactive web experiences.


Primary Responsibilities

Help maintain a variety of front-end experiences in both new and legacy projects.
Work with interface designers and back-end engineers to ensure design integrity across the Frontier suite of websites.
Debug and troubleshoot issues across a variety of browsers
Translate mockups and wireframes into clean, maintainable code
Help create and contribute to the Frontier UX React component library
Job Requirements

3+ years experience in front-end development
Excellent HTML5, CSS and JavaScript (ES6) skills
Experience with CSS frameworks and conventions (CSS3, Sass, Bootstrap)
Experience with React
Working knowledge of Git and the command line
Experience with Sitecore a plus
A strong eye for design details
Excellent verbal and written communication skills, comfortable engaging cross-functional stakeholders across management levels
Motivated self-starter with strong work ethic; comfortable in entrepreneurial work environment
Ability to thrive in a fast-paced, collaborative, and geographically dispersed environment
Team player and relationship builder, able to effectively work cross-functionally with peers, management and other internal or external stakeholders to gain consensus when needed
Flexibility to quickly adjust to unforeseen changes in priorities and workload while remaining extremely organized and following tight deadlines
"
1,"What You’ll Do as our Front-End Web Designer & Developer:

Collaborate with the team to realize creative ideas and campaigns
Test/improve website performance, optimization, and responsiveness across devices and browsers
Implement SEO and keyword functionality
Design as well as utilize existing marketing assets
Create mock-ups for web pages, web promos, and email blasts
Assist with design of wireframes, web flows, and user experience
Develop and support marketing creative concepts and implementation
Design visual imagery aligned with respective brands
Assist with B2C/B2B email communications across brands
Suggest new technologies and visual enhancements
Update website content/copy
What You Bring as a Front-End Web Designer & Developer:

Bachelor’s Degree in related field or industry equivalent experience
3+ years demonstrated experience in web design
Solid knowledge of CMS (Drupal, WordPress, etc.)
Skilled in creating and working with SVG
Advanced proficiency in Dreamweaver, HTML, CSS, and JavaScript
Strong communication and social skills
Driven multi-tasker with a can-do attitude and ability to problem solve and think outside the box
A portfolio you’re proud to brag about
"
1,"UTIES AND RESPONSIBILITIES:

Collaborates with the application developers and graphic designers to build and maintain visually appealing web-based applications. Works to define, design, test and deliver web based solutions that conform to accessibility and identity standards.
Designs, delivers and supports effective back end architecture framework to interact with front end solutions and existing environments. Develops functional databases, applications and servers to support these front end solutions. Maintains standards of application responsiveness for consumers and advancement community.
Author Technical Designs that define how a functional design will be technically enabled. Develop and unit-test application programs as specified in Technical Designs and obtain code reviews from other Programming Staff, while ensuring that all programming standards and policies are adhered to. Partner with stakeholders across the project life-cycle, combining technical expertise with innovative thinking to recommend and develop solutions.

Understand key server-side web development concepts, working to ensure successful feature management, performance, security, and access.Stay informed about current trends in web technologies and related areas such as user interface design, accessibility, responsive design, and other integration technologies, analytics, and mobile-device support.
REQUIRED QUALIFICATIONS:

Bachelor’s degree in computer/information science, web/mobile app development, MIS or related field. (A non-related field with demonstrated experience will also be considered.)
At least 4 years of of proven experience in web programing, including but not limited to production of websites, mobile application and/or applications. This includes professional experience building finished websites/templates/themes from provided graphic design comps.
Strong knowledge of and experience with modern web programming technologies including JavaScript, JQuery, HTML(5), CSS(3), XML, and object oriented design and programming, PHP, .NET.
Adequate knowledge and experience with web content management systems including Web CMS (WordPress, Drupal, etc.) and other digital tools/applications.
Familiarity with back-end IT development and how it relates to front-end web development.
Professional experience with building and using relational databases and SQL knowledge.
Demonstrated fluency in best practices for web-based and mobile information architecture, clean code-writing, security, responsive design, accessibility, usability, and other web coding standards.
Solid understanding of modern client/browser capabilities and performance optimization—including cross-device, cross-OS, cross-browser, mobile and cross-email client testing and debugging.
Ability to prioritize and handle multiple projects at the same time; proven ability to identify and meet requirements and deadlines.
Excellent organizational, communication, and interpersonal skills as well as high attention to detail.
Ability to work independently and collaboratively in a fast-paced, creative environment—in a professional and productive manner.
Experience integrating social media, data, sources, and services (internal and external) into websites.
Experience with user/usability testing and creating interactive design deliverables and specification documents, such as wireframes, site maps, user flow diagrams, prototypes, etc.
Experience with cross-browser website and email testing/debugging tools (BrowserStack, Litmus, etc.)
Experience with one or more of the following technologies: Java, Web Services (REST/SOAP), .NET, eCommerce.
Experience with an enterprise CRM software solution such as Blackbaud CRM
Knowledge of CRM Experience w/in higher education or at the University of Illinois is a plus."
1,"What We Want You To Do
Develop modular and maintainable HTML, CSS, Javascript, and react for our eCommerce website
Continuously improve functionality and customer-interface of new Web/Mobile applications
Interact with the business and other technology teams
Translate functional requirements documents & UX design specifications into technical design and implementation
Schedule and coordinate changes and releases for production applications
Identify and evaluate new UI technologies for implementation
Mentor and coach mid-level and junior-level UI developers
Preferred Qualifications

:

Minimum Experience, Skills And Education
Bachelor's degree from four-year College or university in Computer Science, Technology or related field
Strong Skills implementing UI design using HTML 5, CSS 3, react, JavaScript, consuming JSON web-services and AJAX.
2+ years of experience with Javascript ES6, React, Redux, Node.js
Experience in Responsive and Adaptive Web Design
Experience in designing and developing UI for various devices (desktop, table, mobile, etc.)
Basic knowledge of Image Manipulation Tooling like: PHOTOSHOP, GIMP
Significant experience in using tools like Intellij, SVN, Github, Jira, etc.
Experience working within short development cycles using agile methods
Excellent communication, interpersonal and organizational skills
Experience in performance tuning of the front end elements
Strong problem-solving skills, excellent verbal and written communications skills
Passion for keeping up to speed with the latest software tools and methodologies
Preferred Experience, Skills and Education:
Experience with GO
It will be added advantage if the backend experience is on leading e-commerce platforms such as Hybris, Oracle ATG, IBM Webshpere or complex Java web applications"
1,"A teacher. You’re able to mentor your peers and help our team grow.
A learner. You have an insatiable thirst for knowledge and greater understanding.
A pragmatist. Your goal is to create useful products, not build technology for technology’s sake
An entrepreneur. You’re truly invested in the success of the business
You have a proficient understanding of web technology – HTML5, CSS3, PHP, Webpack, JavaScript
Basic understanding of server-side CSS pre-processing platforms, such as SASS
Good understanding of design principles, grid layout and typography – with a portfolio to showcase it
Proficient understanding of cross-browser and device compatibility issues
Good understanding of SEO principles and best practices
Plus if you have an understanding of Statamic, Responsys, CDN, and caching technology
Exposure to design tools like Sketch and Adobe Suites
Great at project and time management, able to fluidly and successfully manage multiple needs and deadlines
Responsibilities
Develop new user-facing marketing experience, including emails and web experiences
Create reusable templates and maintain extensible site styles
Work closely with the design team to ensure the technical feasibility of UI/UX designs
Optimize application for performance, stability, and scalability
Produce high quality responsive code through PR reviews and QA processes
Collaborate well with other team members and stakeholders"
1,"What We Need You To Do:

Review design comps and document front end technical specifications
Give feedback on the best possible development process with a results driven focus
Scope project and provide accurate estimates for the implementation of features/functionality requests
Convert production/design comps to quality HTML/CSS/JavaScript for various enterprise software products
Follow common web standards and development methodologies to improve efficiency and productivity
Research and recommend new technology to enhance user experience
Work closely with our backend developers to ensure the integrity of the UI throughout the development lifecycle
Perform testing at the page and source for presentation layer defects
Produce high quality work, detail-oriented, and deadline focused
Collaborate with other teams and departments to achieve maximum client satisfaction
About You:

Minimum of 5-7 years work experience in web interface development
Experience with CSS Preprocessors such as SASS/LESS, and frontend workflow systems like Webpack and Gulp and JavaScript Code Libraries Such as Prototype/JQuery, CSS, and HTML
Knowledgeable of the most current UX/UI and best practices
Experience in a Cross Browser testing and implementation
Are you interested in continually improving website and user experience?
Do you like learning about new technology?
Bonus points if you have BigCommerce/Magento/Shopify/Hubspot experience..."
1,"Role
We are looking for a Senior Front-end Software Engineer (or a Sr. Full-Stack Software Engineer with strong UI development skills). You will be part of an agile team and help deliver solutions to world-class, global platforms.


Responsibilities
Implement user-centric UI features for business-critical web applications, leveraging React & SCSS
Implement re-usable application components and microservices
Provide subject-matter-expertise & direction on front-end application architecture & UI design
Coordinate with back-end engineers on web services design
Follow software-engineering best practices in usability, code quality, test coverage, source control, and CI/CD
Partner with other engineers, UX designers, product managers, and customers to refine and build complex products

Qualifications
Bachelor's degree (BA/BS) in a related field such as information systems, mathematics, or computer science or equivalent work experience. Consideration given to equivalent combination of education and experience.
Minimum of 3-5 years of relevant experience as a professional software engineer
Fluent in JavaScript (ES6+), React, functional programming, state management, CSS3, and SCSS
Experience implementing responsive UI, design libraries, and microservices
Experience with RESTful API integration, Webpack, NPM, and Jest (or similar test framework)
Familiarity with Agile/Scrum software development cycles, Git source control, and Jira task management
"
1,"We are looking for a Front-End Developer who can develop user interfaces. You'll be working with HTML5, CSS3, JS.

Our teams are small. Your influence will be felt through the code you write and the ideas you bring to the table. Picture yourself interacting directly with clients and collaborating heavily with User Experience Designers, User Interface Designers, and Back-End Developers.

What you’ll be doing:

Building semantic, accessible and maintainable front-end interfaces with HTML5, CSS3 and JavaScript
Faithfully and accurately translating prototypes and design into working interfaces
Maintaining and improving front-end code bases across a wide variety of projects
Translating business and user requirements into usable web applications and sites
Playing a key role in client communication, project planning, and estimation of front-end tasks
Collaborating with UX and UI Designers to promote and achieve optimal solutions for clients
Taking the lead on browser/device acceptance testing and bug fixing
Working on an agile scrum team
We want someone who:

Has 3+ years of experience in a front-end development role with a preference for candidates with more experience
Has a passion for front-end technology and a desire to learn
Pushes themselves to stay current and applying the most innovative industry best practices
Has a positive, proactive and collaborative attitude while also demonstrating humility
Delivers quality work within budget and timeline constraints
Has experience working with responsive layouts
Has experience or a desire to work with JS frameworks (React, Angular, etc.)
Has experience diagnosing and resolving cross-browser/device challenges and bugs
Speaks fluent CSS3, HTML5 and JavaScript
Understands the benefits and pitfalls of CSS pre-processors (Sass, LESS)
Has working experience with modern build systems, source control (TFS, Git), and task runners (Grunt, Gulp, etc.)
"
